"","neuron_ID","animal_ID","treatment","sex","position","channels","cell_desc","assignment","cell_type","stim_type","stim_code","stim_amp","idc_amp","recovery_time","exp_phase","is_good_assign","WOI1","WOI2","spikes_count_pre","spikes_count_post","trials_count","spikes_std_pre","spikes_std_post","recording_time","template_time","delta_t","spikes_pre","spikes_post","max_bin_time","max_bin_count","max_bin_time_template","max_bin_count_template","bins","recording_filenames","recording_files_num","template_filenames","template_files_num","net_response","log_spikes_count_post","log_spikes_count_pre","t_test","evoked","polarity"
"6382","SNT02_1_[22 27 11]-3_tactile1","SNT02","SNT","F",1,"[22, 27, 11]","tactile1",3,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",15,72,50,0.735402152927643,1.32726510278136,47334,47334,0,"Any[-37.06666666666667, -24.866666666666667, -14.4, -10.5, -4.666666666666667, -24.633333333333333, -25.966666666666665, -49.1, -27.4, -15.766666666666667, -3.566666666666667, -20.266666666666666, -42.13333333333333, -7.066666666666666, -6.066666666666666]","Any[7.6, 11.5, 16.3, 22.933333333333334, 8.666666666666666, 15.166666666666666, 10.933333333333334, 12.366666666666667, 27.133333333333333, 16.2, 24.966666666666665, 27.733333333333334, 38.56666666666667, 41.766666666666666, 18.0, 8.066666666666666, 9.3, 6.6, 7.966666666666667, 12.333333333333334, 13.333333333333334, 15.9, 13.3, 7.9, 11.4, 18.966666666666665, 6.3, 16.433333333333334, 13.266666666666667, 29.633333333333333, 8.6, 13.9, 8.066666666666666, 12.5, 6.733333333333333, 19.966666666666665, 6.266666666666667, 7.866666666666666, 21.6, 6.333333333333333, 41.13333333333333, 19.2, 45.56666666666667, 46.06666666666667, 16.1, 20.833333333333332, 11.966666666666667, 34.266666666666666, 15.5, 32.03333333333333, 4.3, 8.333333333333334, 13.133333333333333, 8.0, 8.966666666666667, 11.566666666666666, 12.633333333333333, 13.966666666666667, 47.43333333333333, 9.866666666666667, 21.233333333333334, 22.6, 31.233333333333334, 10.8, 15.233333333333333, 7.633333333333334, 31.4, 33.333333333333336, 34.56666666666667, 29.4, 8.4, 41.766666666666666]",8,7,0,0,"0:1:50","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]",57,1.86332286012046,1.20411998265592,3.48134635842934e-115,TRUE,"Control"
"6383","SNT02_1_[22 27 11]-4_tactile1","SNT02","SNT","F",1,"[22, 27, 11]","tactile1",4,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",3,53,50,0.239897937482095,0.912721876855045,47334,47334,0,"Any[-33.266666666666666, -45.4, -46.733333333333334]","Any[10.0, 11.033333333333333, 12.733333333333333, 14.666666666666666, 6.233333333333333, 9.533333333333333, 9.8, 10.0, 15.2, 13.8, 7.966666666666667, 10.866666666666667, 6.166666666666667, 16.633333333333333, 8.033333333333333, 6.333333333333333, 11.366666666666667, 15.866666666666667, 26.033333333333335, 15.8, 3.966666666666667, 7.9, 7.833333333333333, 8.933333333333334, 7.566666666666666, 11.9, 13.066666666666666, 8.766666666666667, 11.0, 14.133333333333333, 6.7, 9.333333333333334, 39.96666666666667, 10.166666666666666, 14.0, 3.8666666666666667, 6.6, 9.1, 9.333333333333334, 6.333333333333333, 8.0, 13.766666666666667, 6.166666666666667, 6.333333333333333, 12.9, 6.366666666666666, 6.6, 8.466666666666667, 6.333333333333333, 9.0, 14.466666666666667, 19.966666666666665, 12.366666666666667]",6,11,0,0,"0:1:50","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]",50,1.73239375982297,0.602059991327962,1.72860809768965e-96,TRUE,"Control"
"6384","SNT02_1_[22 27 11]-5_tactile1","SNT02","SNT","F",1,"[22, 27, 11]","tactile1",5,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",22,63,50,0.732900305050324,1.00630664373465,47334,47334,0,"Any[-49.1, -47.96666666666667, -32.3, -14.0, -14.933333333333334, -6.433333333333334, -31.6, -34.733333333333334, -17.0, -19.8, -23.166666666666668, -5.366666666666666, -16.7, -12.233333333333333, -6.2, -32.833333333333336, -39.2, -30.633333333333333, -14.233333333333333, -37.266666666666666, -30.766666666666666, -25.566666666666666]","Any[8.666666666666666, 37.43333333333333, 11.3, 31.433333333333334, 12.1, 11.933333333333334, 13.6, 23.5, 12.066666666666666, 9.4, 9.766666666666667, 12.066666666666666, 11.466666666666667, 9.3, 11.866666666666667, 14.233333333333333, 22.366666666666667, 11.833333333333334, 9.566666666666666, 29.6, 10.066666666666666, 37.63333333333333, 8.266666666666667, 21.133333333333333, 6.433333333333334, 9.466666666666667, 47.733333333333334, 30.933333333333334, 35.63333333333333, 9.233333333333333, 8.066666666666666, 17.0, 12.066666666666666, 16.866666666666667, 11.033333333333333, 13.533333333333333, 26.1, 12.9, 13.4, 16.6, 11.8, 13.166666666666666, 25.033333333333335, 9.266666666666667, 8.866666666666667, 9.5, 36.46666666666667, 9.2, 9.766666666666667, 13.366666666666667, 15.733333333333333, 17.833333333333332, 33.166666666666664, 37.1, 7.933333333333334, 12.533333333333333, 8.1, 11.5, 10.566666666666666, 8.166666666666666, 12.833333333333334, 9.566666666666666, 25.6]",9,11,0,0,"0:1:50","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]",41,1.80617997398389,1.36172783601759,1.98943787719948e-126,TRUE,"Control"
"6385","SNT02_1_[22 27 11]-6_tactile1","SNT02","SNT","F",1,"[22, 27, 11]","tactile1",6,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",8,51,50,0.42185208743524,0.82040308659207,47334,47334,0,"Any[-4.9, -49.53333333333333, -29.5, -4.0, -29.866666666666667, -30.6, -14.333333333333334, -48.3]","Any[12.1, 14.066666666666666, 9.3, 7.633333333333334, 8.866666666666667, 7.533333333333333, 7.533333333333333, 12.766666666666667, 10.3, 10.233333333333333, 10.533333333333333, 13.0, 26.233333333333334, 7.566666666666666, 10.566666666666666, 47.7, 33.666666666666664, 7.666666666666667, 38.06666666666667, 6.6, 9.933333333333334, 7.566666666666666, 11.266666666666667, 6.433333333333334, 10.8, 6.2, 8.466666666666667, 11.033333333333333, 7.6, 10.133333333333333, 7.6, 20.1, 6.733333333333333, 8.566666666666666, 8.4, 15.066666666666666, 7.4, 7.966666666666667, 8.033333333333333, 10.8, 38.5, 8.133333333333333, 11.9, 7.633333333333334, 33.8, 7.7, 9.566666666666666, 12.966666666666667, 7.8, 10.2, 9.233333333333333]",7,13,0,0,"0:1:50","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]",43,1.7160033436348,0.954242509439325,7.19669884624129e-118,TRUE,"Control"
"6386","SNT02_1_[22 27 11]-7_tactile1","SNT02","SNT","F",1,"[22, 27, 11]","tactile1",7,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,44,50,0,0.385449644663773,47334,47334,0,"Any[]","Any[5.8, 5.9, 5.966666666666667, 5.933333333333334, 5.933333333333334, 6.0, 6.0, 5.933333333333334, 6.066666666666666, 5.9, 5.933333333333334, 5.933333333333334, 5.966666666666667, 5.933333333333334, 9.433333333333334, 5.966666666666667, 6.0, 5.966666666666667, 5.966666666666667, 5.966666666666667, 5.866666666666666, 5.9, 5.9, 5.933333333333334, 5.966666666666667, 5.966666666666667, 6.0, 5.966666666666667, 5.933333333333334, 5.866666666666666, 5.9, 5.966666666666667, 5.933333333333334, 6.2, 5.966666666666667, 5.966666666666667, 5.966666666666667, 5.866666666666666, 5.933333333333334, 6.0, 5.9, 5.933333333333334, 6.066666666666666, 6.0]",5,40,0,0,"0:1:50","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]",44,1.65321251377534,0,1.05223909019706e-102,TRUE,"Control"
"6393","SNT02_1_[22 27 11]-14_tactile1","SNT02","SNT","F",1,"[22, 27, 11]","tactile1",14,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",2,18,50,0.197948663722157,0.52527932316715,47334,47334,0,"Any[-29.933333333333334, -18.266666666666666]","Any[13.233333333333333, 11.366666666666667, 13.7, 10.033333333333333, 9.866666666666667, 9.9, 9.666666666666666, 12.633333333333333, 10.333333333333334, 11.8, 9.533333333333333, 10.033333333333333, 10.466666666666667, 9.733333333333333, 6.366666666666666, 10.266666666666667, 9.466666666666667, 11.533333333333333]",9,6,0,0,"0:1:50","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]",16,1.27875360095283,0.477121254719662,8.12438454245596e-90,TRUE,"Control"
"6394","SNT02_1_[22 27 11]-15_tactile1","SNT02","SNT","F",1,"[22, 27, 11]","tactile1",15,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",3,14,50,0.239897937482095,0.572855361593241,47334,47334,0,"Any[-34.333333333333336, -35.63333333333333, -29.9]","Any[9.766666666666667, 8.166666666666666, 9.366666666666667, 9.833333333333334, 9.833333333333334, 6.1, 7.666666666666667, 8.7, 9.866666666666667, 11.5, 11.233333333333333, 6.033333333333333, 12.433333333333334, 9.666666666666666]",9,6,0,0,"0:1:50","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]","[""snt02_220805_130854.rhs"", ""snt02_220805_130910.rhs"", ""snt02_220805_130926.rhs"", ""snt02_220805_130942.rhs"", ""snt02_220805_130958.rhs""]","[16, 17, 18, 19, 20]",11,1.17609125905568,0.602059991327962,6.97559157505108e-80,TRUE,"Control"
"6985","SNT02_2_[5 14 29]-7_tactile4","SNT02","SNT","F",2,"[5, 14, 29]","tactile4",7,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",12,60,50,0.517450579322138,1.03015750727543,56645,56645,0,"Any[-42.7, -38.03333333333333, -41.4, -33.46666666666667, -48.13333333333333, -19.133333333333333, -7.633333333333334, -26.833333333333332, -38.7, -6.266666666666667, -25.133333333333333, -19.966666666666665]","Any[30.166666666666668, 17.833333333333332, 29.333333333333332, 17.266666666666666, 22.566666666666666, 29.133333333333333, 15.7, 18.233333333333334, 9.6, 34.7, 15.7, 17.5, 19.1, 34.666666666666664, 16.5, 34.2, 5.3, 12.633333333333333, 14.366666666666667, 36.7, 17.6, 17.566666666666666, 13.2, 13.6, 15.933333333333334, 15.1, 17.6, 17.966666666666665, 26.7, 8.5, 19.8, 22.933333333333334, 11.866666666666667, 16.533333333333335, 16.0, 19.7, 19.8, 15.8, 17.033333333333335, 23.4, 15.933333333333334, 17.733333333333334, 15.766666666666667, 17.3, 21.066666666666666, 11.866666666666667, 12.9, 14.633333333333333, 16.0, 17.566666666666666, 16.466666666666665, 21.4, 20.433333333333334, 36.266666666666666, 7.133333333333334, 23.266666666666666, 13.433333333333334, 27.433333333333334, 17.633333333333333, 14.1]",17,12,0,0,"0:1:50","[""snt02_220805_154405.rhs"", ""snt02_220805_154421.rhs"", ""snt02_220805_154437.rhs"", ""snt02_220805_154453.rhs"", ""snt02_220805_154509.rhs""]","[1, 2, 3, 4, 5]","[""snt02_220805_154405.rhs"", ""snt02_220805_154421.rhs"", ""snt02_220805_154437.rhs"", ""snt02_220805_154453.rhs"", ""snt02_220805_154509.rhs""]","[1, 2, 3, 4, 5]",48,1.78532983501077,1.11394335230684,5.37845020713672e-113,TRUE,"Control"
"6986","SNT02_2_[5 14 29]-8_tactile4","SNT02","SNT","F",2,"[5, 14, 29]","tactile4",8,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,40,50,0,0.451753951452626,56645,56645,0,"Any[]","Any[11.733333333333333, 12.333333333333334, 11.766666666666667, 11.6, 11.533333333333333, 11.4, 11.266666666666667, 11.3, 11.433333333333334, 15.1, 11.4, 11.333333333333334, 11.4, 11.333333333333334, 11.366666666666667, 11.3, 11.533333333333333, 11.366666666666667, 11.4, 11.266666666666667, 11.3, 11.233333333333333, 11.333333333333334, 11.266666666666667, 11.333333333333334, 11.466666666666667, 11.366666666666667, 11.3, 11.4, 11.5, 11.466666666666667, 11.466666666666667, 11.3, 11.233333333333333, 11.366666666666667, 11.266666666666667, 11.533333333333333, 11.3, 11.366666666666667, 11.566666666666666]",11,38,0,0,"0:1:50","[""snt02_220805_154405.rhs"", ""snt02_220805_154421.rhs"", ""snt02_220805_154437.rhs"", ""snt02_220805_154453.rhs"", ""snt02_220805_154509.rhs""]","[1, 2, 3, 4, 5]","[""snt02_220805_154405.rhs"", ""snt02_220805_154421.rhs"", ""snt02_220805_154437.rhs"", ""snt02_220805_154453.rhs"", ""snt02_220805_154509.rhs""]","[1, 2, 3, 4, 5]",40,1.61278385671974,0,2.67681180722929e-97,TRUE,"Control"
"6988","SNT02_2_[5 14 29]-10_tactile4","SNT02","SNT","F",2,"[5, 14, 29]","tactile4",10,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",12,42,50,0.555492059863531,0.888934239205945,56645,56645,0,"Any[-45.1, -38.833333333333336, -32.3, -25.266666666666666, -30.566666666666666, -22.7, -32.5, -16.133333333333333, -9.166666666666666, -13.533333333333333, -21.933333333333334, -33.56666666666667]","Any[15.1, 15.633333333333333, 32.5, 35.63333333333333, 29.566666666666666, 11.866666666666667, 16.366666666666667, 16.1, 15.3, 19.1, 24.333333333333332, 12.9, 46.833333333333336, 9.033333333333333, 19.033333333333335, 19.633333333333333, 12.2, 14.1, 15.766666666666667, 25.566666666666666, 22.9, 3.8666666666666667, 16.6, 14.666666666666666, 21.8, 22.3, 15.166666666666666, 38.5, 14.933333333333334, 16.166666666666668, 14.166666666666666, 43.53333333333333, 16.1, 16.933333333333334, 15.666666666666666, 19.5, 20.7, 14.066666666666666, 22.666666666666668, 42.13333333333333, 2.9, 20.466666666666665]",15,6,0,0,"0:1:50","[""snt02_220805_154405.rhs"", ""snt02_220805_154421.rhs"", ""snt02_220805_154437.rhs"", ""snt02_220805_154453.rhs"", ""snt02_220805_154509.rhs""]","[1, 2, 3, 4, 5]","[""snt02_220805_154405.rhs"", ""snt02_220805_154421.rhs"", ""snt02_220805_154437.rhs"", ""snt02_220805_154453.rhs"", ""snt02_220805_154509.rhs""]","[1, 2, 3, 4, 5]",30,1.63346845557959,1.11394335230684,1.09003385287044e-112,TRUE,"Control"
"6993","SNT02_2_[5 14 29]-15_tactile4","SNT02","SNT","F",2,"[5, 14, 29]","tactile4",15,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",2,21,50,0.197948663722157,0.64174506986332,56645,56645,0,"Any[-44.0, -41.6]","Any[13.133333333333333, 14.566666666666666, 16.233333333333334, 12.533333333333333, 13.9, 14.133333333333333, 19.7, 18.833333333333332, 10.566666666666666, 12.166666666666666, 13.1, 13.066666666666666, 13.766666666666667, 22.266666666666666, 12.633333333333333, 12.3, 11.866666666666667, 12.566666666666666, 12.8, 15.3, 16.7]",12,6,0,0,"0:1:50","[""snt02_220805_154405.rhs"", ""snt02_220805_154421.rhs"", ""snt02_220805_154437.rhs"", ""snt02_220805_154453.rhs"", ""snt02_220805_154509.rhs""]","[1, 2, 3, 4, 5]","[""snt02_220805_154405.rhs"", ""snt02_220805_154421.rhs"", ""snt02_220805_154437.rhs"", ""snt02_220805_154453.rhs"", ""snt02_220805_154509.rhs""]","[1, 2, 3, 4, 5]",19,1.34242268082221,0.477121254719662,2.41923107947724e-84,TRUE,"Control"
"7827","SNT03_2_[24 25 9]-4_tactile1","SNT03","SNT","M",2,"[24, 25, 9]","tactile1",4,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",4,73,50,0.340467865366085,1.37336173274909,67858,67858,0,"Any[-44.06666666666667, -9.0, -27.833333333333332, -17.866666666666667]","Any[16.866666666666667, 30.2, 32.03333333333333, 33.266666666666666, 16.866666666666667, 30.633333333333333, 34.13333333333333, 16.866666666666667, 28.933333333333334, 31.233333333333334, 34.766666666666666, 36.03333333333333, 17.066666666666666, 17.0, 18.5, 24.566666666666666, 32.766666666666666, 38.56666666666667, 17.133333333333333, 17.966666666666665, 30.766666666666666, 32.833333333333336, 23.966666666666665, 18.333333333333332, 18.3, 22.2, 17.2, 36.46666666666667, 18.233333333333334, 21.7, 18.466666666666665, 5.233333333333333, 33.3, 17.166666666666668, 17.233333333333334, 18.533333333333335, 18.3, 24.166666666666668, 23.2, 18.766666666666666, 19.566666666666666, 29.333333333333332, 33.266666666666666, 35.1, 37.0, 17.0, 18.4, 18.6, 18.4, 24.033333333333335, 18.766666666666666, 28.9, 20.0, 21.0, 17.3, 18.9, 21.2, 31.5, 18.933333333333334, 17.066666666666666, 24.133333333333333, 31.866666666666667, 33.46666666666667, 35.5, 39.43333333333333, 18.766666666666666, 30.033333333333335, 21.0, 21.666666666666668, 18.666666666666668, 17.233333333333334, 29.533333333333335, 16.2]",18,16,0,0,"0:1:50","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]",69,1.86923171973098,0.698970004336019,2.07044282159839e-93,TRUE,"Control"
"7829","SNT03_2_[24 25 9]-6_tactile1","SNT03","SNT","M",2,"[24, 25, 9]","tactile1",6,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,65,50,0,0.462910049886276,67858,67858,0,"Any[]","Any[19.166666666666668, 26.8, 21.1, 44.166666666666664, 18.9, 33.2, 20.0, 30.066666666666666, 19.933333333333334, 28.966666666666665, 20.033333333333335, 19.733333333333334, 38.13333333333333, 21.566666666666666, 29.566666666666666, 20.2, 32.166666666666664, 20.266666666666666, 19.2, 19.6, 30.1, 20.7, 19.466666666666665, 30.9, 22.8, 21.1, 19.3, 22.133333333333333, 20.233333333333334, 21.1, 20.066666666666666, 41.56666666666667, 19.066666666666666, 19.7, 20.333333333333332, 19.866666666666667, 20.733333333333334, 19.966666666666665, 27.9, 20.3, 24.133333333333333, 20.566666666666666, 35.5, 20.733333333333334, 35.666666666666664, 21.066666666666666, 21.566666666666666, 20.6, 33.833333333333336, 22.033333333333335, 20.433333333333334, 24.333333333333332, 22.4, 20.166666666666668, 21.2, 34.3, 20.866666666666667, 20.166666666666668, 20.766666666666666, 22.1, 21.133333333333333, 22.366666666666667, 22.733333333333334, 20.4, 20.833333333333332]",20,19,0,0,"0:1:50","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]",65,1.81954393554187,0,4.12787134020656e-107,TRUE,"Control"
"7830","SNT03_2_[24 25 9]-7_tactile1","SNT03","SNT","M",2,"[24, 25, 9]","tactile1",7,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,49,50,0,0.514682386704338,67858,67858,0,"Any[]","Any[21.366666666666667, 28.333333333333332, 22.733333333333334, 22.9, 22.6, 22.966666666666665, 23.866666666666667, 23.933333333333334, 30.0, 26.6, 23.4, 22.066666666666666, 29.7, 34.766666666666666, 24.633333333333333, 25.3, 23.6, 29.433333333333334, 44.3, 24.766666666666666, 23.633333333333333, 29.9, 24.233333333333334, 23.2, 24.733333333333334, 26.8, 34.2, 25.1, 26.533333333333335, 29.4, 28.933333333333334, 29.466666666666665, 22.0, 33.733333333333334, 25.233333333333334, 38.06666666666667, 34.3, 25.833333333333332, 30.633333333333333, 26.566666666666666, 23.366666666666667, 38.666666666666664, 27.5, 24.833333333333332, 27.733333333333334, 33.56666666666667, 39.5, 31.033333333333335, 32.5]",23,7,0,0,"0:1:50","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]",49,1.69897000433602,0,7.66223567845857e-99,TRUE,"Control"
"7831","SNT03_2_[24 25 9]-8_tactile1","SNT03","SNT","M",2,"[24, 25, 9]","tactile1",8,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",21,35,50,0.60911444586651,0.788954358370519,67858,67858,0,"Any[-8.933333333333334, -24.566666666666666, -23.966666666666665, -20.066666666666666, -47.36666666666667, -12.6, -47.666666666666664, -6.7, -32.8, -44.56666666666667, -46.86666666666667, -6.133333333333334, -4.666666666666667, -21.533333333333335, -31.033333333333335, -23.766666666666666, -44.56666666666667, -20.0, -9.433333333333334, -23.433333333333334, -8.133333333333333]","Any[27.133333333333333, 23.166666666666668, 17.733333333333334, 33.56666666666667, 23.466666666666665, 42.666666666666664, 16.033333333333335, 27.766666666666666, 44.666666666666664, 35.43333333333333, 19.866666666666667, 41.0, 18.5, 36.63333333333333, 29.633333333333333, 34.03333333333333, 20.6, 20.1, 31.5, 44.13333333333333, 13.933333333333334, 39.7, 18.3, 20.933333333333334, 46.1, 9.533333333333333, 22.566666666666666, 8.933333333333334, 31.2, 20.533333333333335, 6.3, 8.666666666666666, 22.933333333333334, 31.133333333333333, 16.533333333333335]",20,4,0,0,"0:1:50","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]",14,1.55630250076729,1.34242268082221,1.82459744606814e-95,TRUE,"Control"
"7891","SNT03_2_[24 25 9]-4_tactile1","SNT03","SNT","M",2,"[24, 25, 9]","tactile1",4,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",11,14,50,0.464670170494017,0.671276578541185,69069,67858,1211,"Any[-29.266666666666666, -36.06666666666667, -29.266666666666666, -45.46666666666667, -19.533333333333335, -47.13333333333333, -19.366666666666667, -4.5, -17.533333333333335, -47.733333333333334, -15.2]","Any[34.733333333333334, 36.93333333333333, 27.033333333333335, 48.766666666666666, 8.9, 17.333333333333332, 26.633333333333333, 18.166666666666668, 30.633333333333333, 39.46666666666667, 47.8, 20.133333333333333, 29.233333333333334, 2.3]",2,1,0,0,"0:1:50","[""snt03_220817_191109.rhs"", ""snt03_220817_191125.rhs"", ""snt03_220817_191141.rhs"", ""snt03_220817_191157.rhs"", ""snt03_220817_191213.rhs""]","[16, 17, 18, 19, 20]","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]",3,1.17609125905568,1.07918124604762,8.01514869738083e-43,TRUE,"Control"
"7893","SNT03_2_[24 25 9]-6_tactile1","SNT03","SNT","M",2,"[24, 25, 9]","tactile1",6,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,1,50,0,0.141421356237309,69069,67858,1211,"Any[]","Any[8.0]",7,1,0,0,"0:1:50","[""snt03_220817_191109.rhs"", ""snt03_220817_191125.rhs"", ""snt03_220817_191141.rhs"", ""snt03_220817_191157.rhs"", ""snt03_220817_191213.rhs""]","[16, 17, 18, 19, 20]","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]",1,0.301029995663981,0,1.0290051293705e-43,TRUE,"Control"
"7894","SNT03_2_[24 25 9]-7_tactile1","SNT03","SNT","M",2,"[24, 25, 9]","tactile1",7,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,0,50,0,0,69069,67858,1211,"Any[]","Any[]",0,0,0,0,"0:1:50","[""snt03_220817_191109.rhs"", ""snt03_220817_191125.rhs"", ""snt03_220817_191141.rhs"", ""snt03_220817_191157.rhs"", ""snt03_220817_191213.rhs""]","[16, 17, 18, 19, 20]","[""snt03_220817_185058.rhs"", ""snt03_220817_185114.rhs"", ""snt03_220817_185130.rhs"", ""snt03_220817_185146.rhs"", ""snt03_220817_185202.rhs""]","[1, 2, 3, 4, 5]",0,0,0,NA,TRUE,"Control"
